"id","ts_datetime","symbol","open","close","volume","low","high","adj_close","adj_high","adj_low","adj_open","adj_volume","div_cash","split_factor","ts_created"
11411575,"2018-01-02","AAIC",8.48,8.47,485000,8.38,8.50,8.47,8.50,8.38,8.48,485000,0.00,0.00,"2021-06-21 14:16:17"
11411576,"2018-01-03","AAIC",8.48,8.39,511500,8.38,8.54,8.39,8.54,8.38,8.48,511500,0.00,0.00,"2021-06-21 14:16:17"
11411577,"2018-01-04","AAIC",8.41,8.43,336700,8.41,8.49,8.43,8.49,8.41,8.41,336700,0.00,0.00,"2021-06-21 14:16:17"
11411578,"2018-01-05","AAIC",8.45,8.45,362600,8.36,8.45,8.45,8.45,8.36,8.45,362600,0.00,0.00,"2021-06-21 14:16:17"
11411579,"2018-01-08","AAIC",8.44,8.48,558300,8.38,8.51,8.48,8.51,8.38,8.44,558300,0.00,0.00,"2021-06-21 14:16:17"
11411580,"2018-01-09","AAIC",8.53,8.48,348000,8.46,8.54,8.48,8.54,8.46,8.53,348000,0.00,0.00,"2021-06-21 14:16:17"
11411581,"2018-01-10","AAIC",8.45,8.39,490300,8.30,8.45,8.39,8.45,8.30,8.45,490300,0.00,0.00,"2021-06-21 14:16:17"
11411582,"2018-01-11","AAIC",8.38,8.48,567200,8.37,8.50,8.48,8.50,8.37,8.38,567200,0.00,0.00,"2021-06-21 14:16:17"
11411583,"2018-01-12","AAIC",8.49,8.56,307600,8.48,8.58,8.56,8.58,8.48,8.49,307600,0.00,0.00,"2021-06-21 14:16:17"
11411584,"2018-01-16","AAIC",8.58,8.51,458700,8.47,8.62,8.51,8.62,8.47,8.58,458700,0.00,0.00,"2021-06-21 14:16:17"
11411585,"2018-01-17","AAIC",8.51,8.53,365600,8.43,8.55,8.53,8.55,8.43,8.51,365600,0.00,0.00,"2021-06-21 14:16:17"
11411586,"2018-01-18","AAIC",8.49,8.43,448000,8.35,8.50,8.43,8.50,8.35,8.49,448000,0.00,0.00,"2021-06-21 14:16:17"
11411587,"2018-01-19","AAIC",8.44,8.46,333200,8.37,8.46,8.46,8.46,8.37,8.44,333200,0.00,0.00,"2021-06-21 14:16:17"
11411588,"2018-01-22","AAIC",8.45,8.43,348600,8.40,8.47,8.43,8.47,8.40,8.45,348600,0.00,0.00,"2021-06-21 14:16:17"
11411589,"2018-01-23","AAIC",8.41,8.38,460400,8.37,8.45,8.38,8.45,8.37,8.41,460400,0.00,0.00,"2021-06-21 14:16:17"
11411590,"2018-01-24","AAIC",8.43,8.37,388800,8.35,8.45,8.37,8.45,8.35,8.43,388800,0.00,0.00,"2021-06-21 14:16:17"
11411591,"2018-01-25","AAIC",8.34,8.15,840600,8.12,8.35,8.15,8.35,8.12,8.34,840600,0.00,0.00,"2021-06-21 14:16:17"
11411592,"2018-01-26","AAIC",8.15,8.03,578300,7.99,8.17,8.03,8.17,7.99,8.15,578300,0.00,0.00,"2021-06-21 14:16:17"
11411593,"2018-01-29","AAIC",8.03,7.79,761600,7.73,8.03,7.79,8.03,7.73,8.03,761600,0.00,0.00,"2021-06-21 14:16:17"
11411594,"2018-01-30","AAIC",7.76,7.74,423200,7.71,7.85,7.74,7.85,7.71,7.76,423200,0.00,0.00,"2021-06-21 14:16:17"
11411595,"2018-01-31","AAIC",7.78,7.55,957400,7.47,7.84,7.55,7.84,7.47,7.78,957400,0.00,0.00,"2021-06-21 14:16:17"
11411596,"2018-02-01","AAIC",7.55,7.63,489200,7.55,7.74,7.63,7.74,7.55,7.55,489200,0.00,0.00,"2021-06-21 14:16:17"
11411597,"2018-02-02","AAIC",7.57,7.50,784600,7.41,7.62,7.50,7.62,7.41,7.57,784600,0.00,0.00,"2021-06-21 14:16:17"
11411598,"2018-02-05","AAIC",7.33,7.23,1265700,7.13,7.41,7.23,7.41,7.13,7.33,1265700,0.00,0.00,"2021-06-21 14:16:17"
11411599,"2018-02-06","AAIC",7.12,7.33,761600,7.12,7.40,7.33,7.40,7.12,7.12,761600,0.00,0.00,"2021-06-21 14:16:17"
11411600,"2018-02-07","AAIC",7.87,7.71,1082400,7.65,7.91,7.71,7.91,7.65,7.87,1082400,0.00,0.00,"2021-06-21 14:16:17"
11411601,"2018-02-08","AAIC",7.72,7.76,977600,7.66,7.91,7.76,7.91,7.66,7.72,977600,0.00,0.00,"2021-06-21 14:16:17"
11411602,"2018-02-09","AAIC",7.85,7.59,1214100,7.48,7.85,7.59,7.85,7.48,7.85,1214100,0.00,0.00,"2021-06-21 14:16:17"
11411603,"2018-02-12","AAIC",7.58,7.68,741500,7.50,7.71,7.68,7.71,7.50,7.58,741500,0.00,0.00,"2021-06-21 14:16:17"
11411604,"2018-02-13","AAIC",7.66,7.83,622500,7.64,7.88,7.83,7.88,7.64,7.66,622500,0.00,0.00,"2021-06-21 14:16:17"
11411605,"2018-02-14","AAIC",7.84,7.86,682700,7.78,7.87,7.86,7.87,7.78,7.84,682700,0.00,0.00,"2021-06-21 14:16:17"
11411606,"2018-02-15","AAIC",7.91,8.12,805800,7.82,8.16,8.12,8.16,7.82,7.91,805800,0.00,0.00,"2021-06-21 14:16:17"
11411607,"2018-02-16","AAIC",8.10,8.21,552600,8.09,8.25,8.21,8.25,8.09,8.10,552600,0.00,0.00,"2021-06-21 14:16:17"
